
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_24592_5_8067c4                                      
    0.0000  0.848939E-01    -0.151700E-01
   -0.0003  0.847454E-01    -0.151250E-01
   -0.0024  0.844482E-01    -0.150352E-01
   -0.0066  0.838551E-01    -0.148570E-01
   -0.0130  0.829682E-01    -0.145929E-01
   -0.0214  0.817901E-01    -0.142469E-01
   -0.0318  0.803241E-01    -0.138240E-01
   -0.0442  0.785740E-01    -0.133306E-01
   -0.0586  0.765446E-01    -0.127740E-01
   -0.0748  0.742421E-01    -0.121622E-01
   -0.0929  0.716767E-01    -0.115044E-01
   -0.1126  0.688727E-01    -0.108102E-01
   -0.1341  0.658841E-01    -0.100892E-01
   -0.1577  0.626461E-01    -0.932955E-02
   -0.1835  0.591467E-01    -0.854324E-02
   -0.2108  0.554835E-01    -0.776230E-02
   -0.2394  0.516841E-01    -0.699713E-02
   -0.2691  0.478041E-01    -0.625726E-02
   -0.3000  0.439157E-01    -0.555087E-02
   -0.3317  0.400898E-01    -0.488441E-02
   -0.3632  0.365198E-01    -0.427886E-02
   -0.3943  0.332396E-01    -0.373220E-02
   -0.4258  0.301329E-01    -0.322794E-02
   -0.4577  0.271904E-01    -0.276687E-02
   -0.4898  0.244078E-01    -0.234916E-02
   -0.5219  0.217846E-01    -0.197440E-02
   -0.5540  0.193216E-01    -0.164163E-02
   -0.5859  0.170207E-01    -0.134931E-02
   -0.6174  0.148831E-01    -0.109545E-02
   -0.6485  0.129098E-01    -0.877657E-03
   -0.6789  0.111009E-01    -0.693199E-03
   -0.7086  0.945532E-02    -0.539124E-03
   -0.7375  0.797079E-02    -0.412328E-03
   -0.7653  0.664382E-02    -0.309647E-03
   -0.7920  0.546960E-02    -0.227935E-03
   -0.8175  0.444209E-02    -0.164140E-03
   -0.8417  0.355405E-02    -0.115367E-03
   -0.8644  0.279719E-02    -0.789319E-04
   -0.8856  0.216232E-02    -0.524026E-04
   -0.9052  0.163938E-02    -0.336268E-04
   -0.9231  0.121720E-02    -0.207515E-04
   -0.9403  0.860652E-03    -0.117334E-04
   -0.9566  0.566931E-03    -0.585156E-05
   -0.9706  0.348737E-03    -0.258727E-05
   -0.9825  0.193542E-03    -0.963477E-06
   -0.9920  0.912068E-04    -0.276934E-06
   -0.9992  0.325388E-04    -0.520409E-07
   -1.0040  0.667537E-05    -0.435929E-08
   -1.0064  0.383597E-06    -0.584910E-10
   -1.0067   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12238805970149252     
     2Ymax/Bref =   0.18974626865671640     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1224  0.119669E-02     0.376819E-04
    0.1227  0.119381E-02     0.363331E-04
    0.1250  0.118138E-02     0.336530E-04
    0.1293  0.112833E-02     0.286181E-04
    0.1356  0.100848E-02     0.220307E-04
    0.1432  0.822052E-03     0.151192E-04
    0.1517  0.606035E-03     0.910527E-05
    0.1605  0.403855E-03     0.470240E-05
    0.1690  0.239030E-03     0.199508E-05
    0.1766  0.119583E-03     0.641075E-06
    0.1828  0.453895E-04     0.132495E-06
    0.1872  0.988720E-05     0.119983E-07
    0.1895  0.594672E-06     0.170663E-09
    0.1897   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.18974626865671640     
     2Ymax/Bref =  -0.12238805970149252     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1224  0.119669E-02    -0.376819E-04
   -0.1227  0.119381E-02    -0.363331E-04
   -0.1250  0.118138E-02    -0.336530E-04
   -0.1293  0.112833E-02    -0.286181E-04
   -0.1356  0.100848E-02    -0.220307E-04
   -0.1432  0.822052E-03    -0.151192E-04
   -0.1517  0.606035E-03    -0.910527E-05
   -0.1605  0.403855E-03    -0.470240E-05
   -0.1690  0.239030E-03    -0.199508E-05
   -0.1766  0.119583E-03    -0.641075E-06
   -0.1828  0.453895E-04    -0.132495E-06
   -0.1872  0.988720E-05    -0.119983E-07
   -0.1895  0.594672E-06    -0.170663E-09
   -0.1897   0.00000         -0.00000    
